player_name,position,team,projected_points,adp
Josh Allen,QB,BUF,388,28.3
Jahmyr Gibbs,RB,DET,373,1.0
Christian McCaffrey,RB,SF,370,5.8
Bijan Robinson,RB,ATL,369,2.0
Puka Nacua,WR,LAR,349,3.9
Jalen Hurts,QB,PHI,343,70.3
Jaxon Smith-Njigba,WR,SEA,334,5.6
Jonathan Taylor,RB,IND,333,7.6
Jayden Daniels,QB,WAS,333,64.5
Lamar Jackson,QB,BAL,333,50.5
Drake Maye,QB,NE,332,59.1
Trevor Lawrence,QB,JAX,324,87.3
Brock Purdy,QB,SF,323,100.8
Justin Herbert,QB,LAC,321,84.1
Dak Prescott,QB,DAL,319,80.6
Ja'Marr Chase,WR,CIN,317,3.1
Caleb Williams,QB,CHI,316,75.8
Amon-Ra St. Brown,WR,DET,314,7.3
Jaxson Dart,QB,NYG,314,94.8
Matthew Stafford,QB,LAR,313,100.4
Joe Burrow,QB,CIN,312,60.4
Bo Nix,QB,DEN,310,109.4
Jared Goff,QB,DET,304,114.5
Justin Jefferson,WR,MIN,303,11.6
De'Von Achane,RB,MIA,302,15.3
Ashton Jeanty,RB,LV,301,10.8
James Cook III,RB,BUF,301,10.6
CeeDee Lamb,WR,DAL,296,11.0
Tyler Shough,QB,NO,293,134.6
Baker Mayfield,QB,TB,292,128.5
Patrick Mahomes II,QB,KC,290,104.8
Kenneth Walker III,RB,KC,288,17.5
Derrick Henry,RB,BAL,287,19.0
Jordan Love,QB,GB,284,133.9
Malik Willis,QB,MIA,284,147.0
Chase Brown,RB,CIN,284,15.5
Daniel Jones,QB,IND,279,159.1
Kyler Murray,QB,MIN,278,126.8
Omarion Hampton,RB,LAC,276,15.8
Sam Darnold,QB,SEA,273,174.5
Rashee Rice,WR,KC,271,25.1
C.J. Stroud,QB,HOU,270,166.9
Saquon Barkley,RB,PHI,268,14.1
Bryce Young,QB,CAR,267,182.6
Josh Jacobs,RB,GB,262,36.1
Jeremiyah Love,RB,ARI,262,26.5
Breece Hall,RB,NYJ,260,31.6
Zay Flowers,WR,BAL,259,33.5
George Pickens,WR,DAL,256,23.9
Brock Bowers,TE,LV,256,19.3
Drake London,WR,ATL,254,19.0
Cam Ward,QB,TEN,253,169.3
