player_name,position,team,projected_points,consensus_projection,floor_points,ceiling_points,ds_value,games_played,strength_of_schedule,injury_risk_pct,adp
Josh Allen,QB,BUF,376,366,304.4,439.7,52,17,-3.4,33.0,25
Jahmyr Gibbs,RB,DET,359,350,294.0,412.3,100,17,0.9,54.0,1
Puka Nacua,WR,LAR,356,333,270.2,398.2,100,17,-3.1,51.0,4
Bijan Robinson,RB,ATL,346,349,294.0,404.7,95,17,-3.2,25.0,2
Lamar Jackson,QB,BAL,340,326,298.8,438.1,35,17,1.1,42.0,45
Ja'Marr Chase,WR,CIN,339,326,291.4,399.8,97,17,4.0,37.0,3
Drake Maye,QB,NE,338,315,293.7,425.3,31,17,-2.8,35.0,57
Joe Burrow,QB,CIN,337,310,289.9,421.3,30,17,3.2,34.0,59
Jayden Daniels,QB,WAS,334,314,287.4,434.5,31,17,-0.4,41.0,65
Christian McCaffrey,RB,SF,331,315,274.7,410.5,89,17,0.7,78.0,5
Jalen Hurts,QB,PHI,331,313,288.1,430.5,30,17,8.8,33.0,67
Trevor Lawrence,QB,JAC,329,308,279.9,414.9,27,17,4.5,34.0,90
Brock Purdy,QB,SF,327,303,278.1,415.5,27,17,-4.0,36.0,120
Justin Herbert,QB,LAC,326,305,280.7,417.8,27,17,-2.8,36.0,88
Kyler Murray,QB,MIN,325,281,273.0,419.3,26,17,4.0,33.0,139
Dak Prescott,QB,DAL,325,306,282.7,412.7,26,17,0.5,34.0,82
Caleb Williams,QB,CHI,324,302,278.4,420.9,26,17,-3.5,20.0,77
Jaxson Dart,QB,NYG,319,305,277.1,417.3,25,17,4.8,36.0,95
Amon-Ra St. Brown,WR,DET,316,302,287.9,357.5,83,17,-1.0,37.0,8
Jaxon Smith-Njigba,WR,SEA,315,311,286.7,374.9,85,17,-0.1,39.0,6
Bo Nix,QB,DEN,312,290,280.9,412.0,23,17,-3.7,28.0,114
Patrick Mahomes,QB,KC,309,298,277.7,416.6,23,17,-3.2,37.0,111
Jared Goff,QB,DET,303,285,278.4,402.5,20,17,-0.9,23.0,123
CeeDee Lamb,WR,DAL,301,269,262.2,361.6,77,17,-0.7,44.0,10
Matthew Stafford,QB,LAR,299,289,277.8,403.3,19,17,-0.0,39.0,100
Jonathan Taylor,RB,IND,299,297,254.0,364.6,70,17,1.7,37.0,7
Jordan Love,QB,GB,296,274,278.4,402.8,19,17,-0.3,82.0,147
Tyler Shough,QB,NO,296,274,272.6,408.9,19,17,0.5,17.0,149
James Cook,RB,BUF,293,259,255.1,363.6,68,17,-4.2,36.0,9
Justin Jefferson,WR,MIN,292,260,248.0,379.3,75,17,4.9,36.0,11
Baker Mayfield,QB,TB,291,280,276.6,404.8,18,17,-0.8,37.0,133
Kenneth Walker III,RB,KC,279,244,231.5,362.6,61,17,0.6,34.0,17
Daniel Jones,QB,IND,277,270,260.7,404.9,14,17,1.6,36.0,186
Malik Willis,QB,MIA,275,268,264.1,409.9,14,17,-2.0,15.0,162
Drake London,WR,ATL,273,271,251.5,330.8,62,17,0.4,73.0,18
A.J. Brown,WR,NE,272,259,228.5,345.4,62,17,-2.5,61.0,19
De'Von Achane,RB,MIA,271,277,236.2,350.2,58,17,0.8,68.0,13
C.J. Stroud,QB,HOU,270,264,264.9,389.3,8,17,4.4,29.0,182
Rashee Rice,WR,KC,269,243,209.4,332.9,57,17,-2.6,74.0,29
Nico Collins,WR,HOU,269,251,234.0,330.8,59,17,4.4,49.0,24
Saquon Barkley,RB,PHI,268,252,232.8,366.6,59,17,4.4,35.0,14
Ashton Jeanty,RB,LVR,267,245,199.6,353.2,56,15,-3.1,39.0,12
Chase Brown,RB,CIN,267,260,226.7,354.8,56,17,-4.0,45.0,15
Cameron Ward,QB,TEN,264,239,253.3,403.7,10,17,6.3,39.0,193
George Pickens,WR,DAL,262,245,232.9,329.8,56,17,-0.7,36.0,23
Derrick Henry,RB,BAL,262,252,223.1,333.3,51,17,-0.1,33.0,20
Sam Darnold,QB,SEA,261,256,258.1,391.1,5,17,0.4,29.0,189
Brock Bowers,TE,LVR,259,246,236.1,311.3,53,17,-1.0,81.0,22
Aaron Rodgers,QB,PIT,258,214,252.9,384.5,4,17,-2.1,53.0,234
Chris Olave,WR,NO,256,243,215.4,307.7,50,17,0.9,75.0,27
Omarion Hampton,RB,LAC,254,238,221.3,361.1,52,17,0.6,73.0,16
Josh Jacobs,RB,GB,254,227,188.1,315.1,42,17,-2.2,67.0,35
Trey McBride,TE,ARI,253,240,235.7,304.2,51,17,-3.6,46.0,21
Zay Flowers,WR,BAL,253,226,224.8,295.6,48,17,-0.3,36.0,36
Breece Hall,RB,NYJ,250,230,212.4,317.4,43,17,-2.5,43.0,33
Jacoby Brissett,QB,ARI,247,275,194.0,357.5,5,13,-1.2,10.0,238
Bryce Young,QB,CAR,247,253,244.1,394.6,5,17,-0.8,32.0,219
Garrett Wilson,WR,NYJ,244,231,219.2,299.6,45,17,-1.0,38.0,39
Tee Higgins,WR,CIN,244,222,217.0,302.3,45,17,4.0,66.0,41
Malik Nabers,WR,NYG,243,234,191.6,340.6,50,16,3.7,39.0,30
DeVonta Smith,WR,PHI,242,232,222.7,305.0,45,17,6.6,50.0,34
Colston Loveland,TE,CHI,241,222,197.3,288.7,44,17,-3.6,60.0,43
Geno Smith,QB,NYJ,241,236,214.4,387.3,3,16,-4.4,36.0,474
Javonte Williams,RB,DAL,240,224,209.1,305.3,38,17,2.9,43.0,31
Fernando Mendoza,QB,LVR,240,238,178.1,356.2,3,13,-6.2,23.0,210
Jeremiyah Love,RB,ARI,240,236,208.5,345.2,44,17,0.1,34.0,28
Jaylen Waddle,WR,DEN,235,217,199.4,300.3,40,17,-2.5,37.0,46
Kyren Williams,RB,LAR,233,223,207.3,302.8,35,17,6.4,52.0,32
Davante Adams,WR,LAR,230,208,188.9,290.2,36,17,-3.1,49.0,51
Travis Etienne,RB,NO,228,216,207.1,316.4,36,17,1.8,45.0,40
Christian Watson,WR,GB,226,197,187.9,289.7,35,17,1.3,25.0,64
D'Andre Swift,RB,CHI,224,213,190.6,295.9,31,17,-3.6,42.0,53
Tyler Warren,TE,IND,224,207,184.1,267.1,37,17,1.5,36.0,54
Tetairoa McMillan,WR,CAR,223,220,198.7,290.2,35,17,-1.3,37.0,37
Emeka Egbuka,WR,TB,223,218,189.4,298.6,35,17,2.6,42.0,38
Luther Burden III,WR,CHI,222,209,184.7,300.3,35,17,-2.5,54.0,52
Ladd McConkey,WR,LAC,221,225,194.3,295.9,35,17,-2.6,42.0,44
Mike Evans,WR,SF,218,202,176.3,296.1,32,17,-3.2,65.0,62
Terry McLaurin,WR,WAS,217,210,190.9,288.5,32,17,-2.4,37.0,55
Cameron Skattebo,RB,NYG,214,213,175.5,301.8,29,17,2.2,72.0,42
Parker Washington,WR,JAC,211,195,175.5,274.9,27,17,4.0,0.0,68
Bucky Irving,RB,TB,211,203,183.7,297.7,29,17,-2.2,63.0,48
Jameson Williams,WR,DET,210,205,184.9,279.5,28,17,-1.0,36.0,58
D.J. Moore,WR,BUF,209,199,175.9,282.7,27,17,0.7,54.0,50
David Montgomery,RB,HOU,207,194,177.6,295.4,28,17,2.0,85.0,49
D.K. Metcalf,WR,PIT,207,190,174.2,263.4,24,17,-2.6,36.0,78
Rome Odunze,WR,CHI,206,197,181.3,296.7,29,17,-2.5,36.0,61
Quinshon Judkins,RB,CLE,202,196,181.8,292.9,27,17,0.6,48.0,47
Michael Pittman Jr.,WR,PIT,202,185,173.4,258.1,21,17,-2.6,60.0,93
Carnell Tate,WR,TEN,201,176,168.5,280.8,24,17,5.0,40.0,66
Jaylen Warren,RB,PIT,201,183,162.8,275.3,25,17,-2.1,66.0,69
Rhamondre Stevenson,RB,NE,199,179,167.5,283.1,26,17,-1.9,64.0,74
Courtland Sutton,WR,DEN,199,184,171.1,264.5,21,17,-2.5,43.0,76
Jayden Reed,WR,GB,198,175,164.3,265.3,21,17,1.3,36.0,118
Harold Fannin Jr.,TE,CLE,197,186,173.6,250.5,27,17,3.4,57.0,70
Sam LaPorta,TE,DET,196,187,172.2,254.4,27,17,-2.0,60.0,80
Marvin Harrison Jr.,WR,ARI,196,185,172.6,276.6,22,17,-0.8,55.0,72
Jordan Addison,WR,MIN,196,168,162.4,266.2,20,17,4.9,37.0,107
Tucker Kraft,TE,GB,195,184,169.5,259.2,27,17,-3.3,39.0,71
Jakobi Meyers,WR,JAC,194,165,160.9,261.6,19,17,4.0,37.0,112
Josh Downs,WR,IND,190,168,157.7,266.0,18,17,-0.8,61.0,106
TreVeyon Henderson,RB,NE,190,183,161.6,306.1,26,17,-1.9,64.0,56
Quentin Johnston,WR,LAC,189,169,156.5,271.5,18,17,-2.6,56.0,102
Brian Thomas Jr.,WR,JAC,189,180,164.5,279.8,20,17,4.0,35.0,75
Chris Godwin,WR,TB,189,179,153.4,278.4,19,17,2.6,40.0,91
George Kittle,TE,SF,187,185,141.4,257.4,23,16,-3.6,44.0,98
Stefon Diggs,WR,WAS,186,165,154.8,276.0,18,17,-2.4,31.0,110
Kyle Pitts,TE,ATL,186,179,170.8,246.9,23,17,4.8,53.0,73
