player_name,position,team,projected_points,adp,ecr
Jahmyr Gibbs,RB,DET,373.01,1.2,2
Josh Allen,QB,BUF,372.47,27.9,27
Bijan Robinson,RB,ATL,357.01,2.0,4
Puka Nacua,WR,LAR,339.8,4.9,3
Ja'Marr Chase,WR,CIN,335.99,3.5,1
Christian McCaffrey,RB,SF,334.63,7.4,8
Jaxon Smith-Njigba,WR,SEA,326.21,7.2,5
Lamar Jackson,QB,BAL,324.99,41.6,31
Jayden Daniels,QB,WAS,322.53,71.1,52
Jalen Hurts,QB,PHI,320.48,62.6,56
Drake Maye,QB,NE,320.4,55.3,38
Amon-Ra St. Brown,WR,DET,319.84,7.5,6
Joe Burrow,QB,CIN,310.89,60.7,44
Jonathan Taylor,RB,IND,310.14,6.6,10
Jaxson Dart,QB,NYG,309.76,107.6,93
Brock Purdy,QB,SF,307.53,119.3,92
Trevor Lawrence,QB,JAX,306.21,101.2,76
Dak Prescott,QB,DAL,306.19,86.1,75
Patrick Mahomes II,QB,KC,303.02,123.1,101
Caleb Williams,QB,CHI,301.42,77.1,64
Justin Herbert,QB,LAC,299.59,80.9,69
Bo Nix,QB,DEN,298.16,117.8,95
Matthew Stafford,QB,LAR,293.96,114.0,105
De'Von Achane,RB,MIA,292.33,13.2,20
Jared Goff,QB,DET,287.79,134.1,107
Tyler Shough,QB,NO,285.38,160.5,124
Baker Mayfield,QB,TB,281.85,149.0,119
Kyler Murray,QB,MIN,280.26,143.0,112
Chase Brown,RB,CIN,278.59,15.7,15
Drake London,WR,ATL,276.29,20.2,11
Daniel Jones,QB,IND,274.58,166.0,141
Derrick Henry,RB,BAL,273.83,17.7,37
CeeDee Lamb,WR,DAL,273.01,11.2,7
Justin Jefferson,WR,MIN,272.82,12.6,9
Jordan Love,QB,GB,270.61,151.8,121
James Cook III,RB,BUF,270.58,10.4,13
Malik Willis,QB,MIA,270.18,162.0,128
Rashee Rice,WR,KC,268.27,32.8,25
Sam Darnold,QB,SEA,266.58,160.1,137
Saquon Barkley,RB,PHI,264.67,11.9,21
Chris Olave,WR,NO,262.0,28.7,16
C.J. Stroud,QB,HOU,260.84,167.0,139
Ashton Jeanty,RB,LV,260.81,20.4,28
Kenneth Walker III,RB,KC,258.11,18.8,24
A.J. Brown,WR,NE,256.23,19.2,12
Trey McBride,TE,ARI,256.07,26.8,18
Jeremiyah Love,RB,ARI,255.99,31.5,42
Bryce Young,QB,CAR,255.83,165.8,160
Omarion Hampton,RB,LAC,254.17,17.6,26
George Pickens,WR,DAL,252.03,23.8,19
Nico Collins,WR,HOU,247.92,22.2,14
Breece Hall,RB,NYJ,245.37,34.8,39
Brock Bowers,TE,LV,243.67,23.2,17
Garrett Wilson,WR,NYJ,242.76,43.5,29
Josh Jacobs,RB,GB,242.69,42.7,48
Zay Flowers,WR,BAL,241.79,37.3,30
Malik Nabers,WR,NYG,240.59,28.1,23
Kyren Williams,RB,LAR,240.15,26.6,41
DeVonta Smith,WR,PHI,236.87,31.4,22
Travis Etienne Jr.,RB,NO,236.58,41.7,45
Geno Smith,QB,NYJ,234.85,173.5,212
Javonte Williams,RB,DAL,234.25,34.8,43
Cam Skattebo,RB,NYG,233.84,43.1,59
Tetairoa McMillan,WR,CAR,233.8,39.6,34
Cam Ward,QB,TEN,232.41,171.0,146
Jacoby Brissett,QB,ARI,230.83,170.0,179
Emeka Egbuka,WR,TB,228.25,42.1,40
D'Andre Swift,RB,CHI,223.52,46.5,53
Aaron Rodgers,QB,PIT,223.51,170.3,209
Davante Adams,WR,LAR,221.95,53.9,49
Tee Higgins,WR,CIN,221.7,36.3,36
Ladd McConkey,WR,LAC,220.27,37.5,32
Bucky Irving,RB,TB,219.56,48.0,60
Jameson Williams,WR,DET,217.26,60.5,54
Quinshon Judkins,RB,CLE,216.59,53.8,61
Colston Loveland,TE,CHI,211.35,41.1,35
Jaylen Waddle,WR,DEN,210.19,41.0,33
Terry McLaurin,WR,WAS,209.83,53.5,47
DJ Moore,WR,BUF,208.45,51.8,50
Luther Burden III,WR,CHI,208.02,56.5,46
Bhayshul Tuten,RB,JAX,207.31,58.5,65
Rome Odunze,WR,CHI,205.13,60.7,57
Mike Evans,WR,SF,203.04,64.4,55
Tyler Warren,TE,IND,199.23,52.1,51
Harold Fannin Jr.,TE,CLE,198.88,75.4,71
Marvin Harrison Jr.,WR,ARI,198.87,73.6,66
Courtland Sutton,WR,DEN,198.58,89.8,82
David Montgomery,RB,HOU,195.88,50.1,62
DK Metcalf,WR,PIT,195.24,79.8,78
Christian Watson,WR,GB,193.81,65.1,58
Jaylen Warren,RB,PIT,193.33,71.1,74
Rhamondre Stevenson,RB,NE,192.77,76.5,73
Alec Pierce,WR,IND,192.25,100.6,99
Fernando Mendoza,QB,LV,191.77,165.0,253
TreVeyon Henderson,RB,NE,191.46,66.1,68
Michael Pittman Jr.,WR,PIT,190.3,102.2,80
Jadarian Price,RB,SEA,189.97,60.7,70
Tony Pollard,RB,TEN,187.81,82.1,83
Kyle Pitts Sr.,TE,ATL,187.75,75.8,77
George Kittle,TE,SF,185.08,85.5,96
Parker Washington,WR,JAX,184.38,67.6,63
Sam LaPorta,TE,DET,184.14,65.7,85
Travis Kelce,TE,KC,182.53,101.4,94
Brian Thomas Jr.,WR,JAX,181.09,80.6,79
Rico Dowdle,RB,PIT,180.26,85.4,88
Dallas Goedert,TE,PHI,179.45,111.0,118
Wan'Dale Robinson,WR,TEN,179.08,115.7,84
Jakobi Meyers,WR,JAX,178.7,129.6,103
Carnell Tate,WR,TEN,178.43,73.0,67
Michael Wilson,WR,ARI,177.94,89.2,87
Tucker Kraft,TE,GB,176.42,69.6,81
J.K. Dobbins,RB,DEN,176.09,91.6,100
Chris Godwin Jr.,WR,TB,175.73,87.9,72
Jayden Reed,WR,GB,175.48,108.4,104
Chuba Hubbard,RB,CAR,173.61,92.2,97
Kenny Gainwell,RB,TB,171.55,106.7,98
KC Concepcion,WR,CLE,170.37,114.7,120
Quentin Johnston,WR,LAC,169.93,108.3,90
Jordan Addison,WR,MIN,168.88,104.1,106
Xavier Worthy,WR,KC,167.67,134.5,129
Jake Ferguson,TE,DAL,167.47,118.3,117
Mark Andrews,TE,BAL,167.2,126.9,130
Stefon Diggs,WR,WAS,166.23,99.9,102
Isaiah Likely,TE,NYG,165.28,110.7,122
Khalil Shakir,WR,BUF,164.91,141.8,123
Jonathon Brooks,RB,CAR,164.11,85.5,89
Romeo Doubs,WR,NE,163.73,132.9,126
Josh Downs,WR,IND,163.73,104.6,86
Deebo Samuel Sr.,WR,SF,162.92,133.8,140
RJ Harvey,RB,DEN,162.13,91.4,91
Rachaad White,RB,WAS,161.27,124.5,111
Aaron Jones Sr.,RB,MIN,161.18,120.7,115
De'Zhaun Stribling,WR,SF,160.46,107.5,138
Matthew Golden,WR,GB,160.3,121.7,127
Dalton Kincaid,TE,BUF,160.18,96.4,110
Denzel Boston,WR,CLE,158.05,150.2,145
Jalen Coker,WR,CAR,157.75,135.4,125
