player_name,position,team,projected_points,source_count,sigma_cross,adp,adp_local,adp_global,ecr,floor_points,ceiling_points
Josh Allen,QB,BUF,374.235,4,10.835861371698455,27.9,21.0,27.9,27.0,304.4,439.7
Jahmyr Gibbs,RB,DET,366.005,4,19.68420750246249,1.2,1.9,1.2,2.0,294.0,412.3
Bijan Robinson,RB,ATL,351.505,4,18.706648327978655,2.0,2.6,2.0,4.0,294.0,404.7
Puka Nacua,WR,LAR,344.6,4,19.142687899038627,4.9,4.8,4.9,3.0,270.2,398.2
Christian McCaffrey,RB,SF,332.815,4,32.194770149824016,7.4,5.6,7.4,8.0,274.7,410.5
Lamar Jackson,QB,BAL,329.5,4,6.979017958614709,41.6,32.8,41.6,31.0,298.8,438.1
Jayden Daniels,QB,WAS,326.465,4,11.203699909702435,71.1,64.0,71.1,52.0,287.4,434.5
Ja'Marr Chase,WR,CIN,326.295,4,13.889337337204623,3.5,3.6,3.5,1.0,291.4,399.8
Jalen Hurts,QB,PHI,325.74,4,13.943001828874573,62.6,60.3,62.6,56.0,288.1,430.5
Drake Maye,QB,NE,324.18,4,8.235557054626005,55.3,48.9,55.3,38.0,293.7,425.3
Jaxon Smith-Njigba,WR,SEA,320.605,4,21.540311627272235,7.2,6.9,7.2,5.0,286.7,374.9
Amon-Ra St. Brown,WR,DET,315.15,4,18.254343775295418,7.5,8.9,7.5,6.0,287.9,357.5
Trevor Lawrence,QB,JAX,315.05499999999995,4,12.714431105375231,101.2,100.0,101.2,76.0,279.9,414.9
Brock Purdy,QB,SF,315.015,4,11.478642123526644,119.3,122.0,119.3,92.0,278.1,415.5
Dak Prescott,QB,DAL,312.595,4,10.140336532877004,86.1,78.9,86.1,75.0,282.7,412.7
Jaxson Dart,QB,NYG,312.08,4,9.687908270966773,107.6,90.1,107.6,93.0,277.1,417.3
Joe Burrow,QB,CIN,311.595,4,13.869420499790175,60.7,51.9,60.7,44.0,289.9,421.3
Justin Herbert,QB,LAC,310.345,4,15.245013119049789,80.9,82.4,80.9,69.0,280.7,417.8
Caleb Williams,QB,CHI,308.71000000000004,4,11.819582620944507,77.1,71.5,77.1,64.0,278.4,420.9
Jonathan Taylor,RB,IND,304.57,4,25.218916180782493,6.6,6.8,6.6,10.0,254.0,364.6
