player_name,position,team,projected_points,adp
Josh Allen,QB,BUF,387.8,29.5
Jahmyr Gibbs,RB,DET,373.3,1.0
Christian McCaffrey,RB,SF,369.7,6.0
Bijan Robinson,RB,ATL,368.9,2.0
Puka Nacua,WR,LAR,349.4,4.0
Jalen Hurts,QB,PHI,343.0,76.0
Jaxon Smith-Njigba,WR,SEA,333.5,5.0
Jonathan Taylor,RB,IND,333.0,9.0
Lamar Jackson,QB,BAL,333.0,52.5
Jayden Daniels,QB,WAS,330.4,66.0
Drake Maye,QB,NE,327.6,61.0
Trevor Lawrence,QB,JAX,323.9,80.5
Brock Purdy,QB,SF,322.5,96.5
Justin Herbert,QB,LAC,321.1,75.0
Dak Prescott,QB,DAL,319.0,81.0
Ja'Marr Chase,WR,CIN,316.6,3.0
Caleb Williams,QB,CHI,316.0,71.0
Jaxson Dart,QB,NYG,314.4,97.0
Amon-Ra St. Brown,WR,DET,314.3,7.0
Matthew Stafford,QB,LAR,312.6,98.5
Joe Burrow,QB,CIN,312.3,60.5
Bo Nix,QB,DEN,309.8,109.5
Jared Goff,QB,DET,304.1,106.5
Justin Jefferson,WR,MIN,302.7,10.5
De'Von Achane,RB,MIA,302.4,15.5
James Cook III,RB,BUF,300.5,28.0
CeeDee Lamb,WR,DAL,295.6,10.5
Tyler Shough,QB,NO,292.5,119.5
Baker Mayfield,QB,TB,292.3,116.0
Patrick Mahomes II,QB,KC,289.6,26.0
Daniel Jones,QB,IND,288.8,150.0
Derrick Henry,RB,BAL,287.2,21.0
Kenneth Walker III,RB,KC,284.8,16.0
Jordan Love,QB,GB,283.9,119.5
Malik Willis,QB,MIA,283.9,133.5
Chase Brown,RB,CIN,283.7,15.5
Kyler Murray,QB,MIN,278.0,117.5
Omarion Hampton,RB,LAC,275.9,14.0
Sam Darnold,QB,SEA,273.0,143.5
C.J. Stroud,QB,HOU,268.6,140.5
Saquon Barkley,RB,PHI,267.9,15.0
Rashee Rice,WR,KC,266.8,25.0
Bryce Young,QB,CAR,266.6,159.0
Josh Jacobs,RB,GB,262.4,41.5
Zay Flowers,WR,BAL,258.9,30.5
Breece Hall,RB,NYJ,256.4,29.5
George Pickens,WR,DAL,256.3,24.0
Ashton Jeanty,RB,LV,255.1,8.5
Drake London,WR,ATL,254.1,17.5
Nico Collins,WR,HOU,253.7,22.0
Brock Bowers,TE,LV,253.5,20.0
Cam Ward,QB,TEN,252.7,197.0
Trey McBride,TE,ARI,250.3,25.0
Javonte Williams,RB,DAL,249.1,36.0
Aaron Rodgers,QB,PIT,247.9,174.5
Devonta Smith,WR,PHI,243.9,27.0
Travis Etienne Jr.,RB,NO,243.4,37.0
Jeremiyah Love,RB,ARI,242.9,25.5
A.J. Brown,WR,NE,241.0,18.5
Kyren Williams,RB,LAR,240.3,31.5
Garrett Wilson,WR,NYJ,238.0,37.0
Tee Higgins,WR,CIN,234.7,36.5
Chris Olave,WR,NO,233.8,28.0
Quinshon Judkins,RB,CLE,233.8,53.5
Tetairoa McMillan,WR,CAR,233.3,38.0
Geno Smith,QB,NYJ,229.9,185.0
Cam Skattebo,RB,NYG,229.1,45.0
Luther Burden III,WR,CHI,226.8,43.5
Jaylen Waddle,WR,DEN,226.6,44.0
Malik Nabers,WR,NYG,225.1,38.0
D'Andre Swift,RB,CHI,223.6,50.5
Ladd McConkey,WR,LAC,218.7,36.5
Jameson Williams,WR,DET,218.0,51.5
Jalen Coker,WR,CAR,217.0,128.5
Davante Adams,WR,LAR,215.4,50.5
Rome Odunze,WR,CHI,215.3,58.5
Bucky Irving,RB,TB,213.5,59.0
Jadarian Price,RB,SEA,211.8,66.5
Tyler Warren,TE,IND,211.7,60.5
Rhamondre Stevenson,RB,NE,209.6,78.0
Bhayshul Tuten,RB,JAX,209.5,56.5
Terry Mclaurin,WR,WAS,209.5,43.5
Colston Loveland,TE,CHI,208.4,41.5
Marvin Harrison Jr.,WR,ARI,207.3,66.5
David Montgomery,RB,HOU,203.8,50.5
Tucker Kraft,TE,GB,202.2,81.5
Chuba Hubbard,RB,CAR,202.2,77.0
Parker Washington,WR,JAX,199.4,66.5
Mark Andrews,TE,BAL,199.1,129.0
Emeka Egbuka,WR,TB,198.8,34.5
Josh Downs,WR,IND,198.7,95.0
Harold Fannin Jr.,TE,CLE,198.4,98.0
DJ Moore,WR,BUF,196.1,53.0
Rico Dowdle,RB,PIT,194.9,91.0
Courtland Sutton,WR,DEN,194.2,77.0
Jordan Addison,WR,MIN,193.1,102.5
J.K. Dobbins,RB,DEN,193.1,105.0
Xavier Worthy,WR,KC,192.1,106.0
Travis Kelce,TE,KC,190.8,116.0
Jaylen Warren,RB,PIT,190.6,70.0
Jayden Reed,WR,GB,190.2,94.5
TreVeyon Henderson,RB,NE,190.1,52.5
Christian Watson,WR,GB,190.1,53.0
Los Angeles Rams,DEF,LAR,189.0,148.0
DK Metcalf,WR,PIT,188.6,41.4
Aaron Jones Sr.,RB,MIN,188.5,69.0
Michael Pittman Jr.,WR,PIT,187.5,89.0
Kenneth Gainwell,RB,TB,187.4,86.5
Jacoby Brissett,QB,ARI,185.9,178.5
Sam Laporta,TE,DET,185.0,94.0
Houston Texans,DEF,HOU,185.0,141.0
Stefon Diggs,WR,WAS,184.8,135.5
Brandon Aubrey,K,DAL,184.0,111.0
Mike Evans,WR,SF,183.6,52.5
Jakobi Meyers,WR,JAX,181.5,102.5
Seattle Seahawks,DEF,SEA,181.0,157.0
Isaiah Likely,TE,NYG,180.4,124.0
Tony Pollard,RB,TEN,178.2,75.0
Chris Godwin Jr.,WR,TB,178.1,94.0
Ka'imi Fairbairn,K,HOU,178.0,156.0
Denver Broncos,DEF,DEN,177.0,164.0
Brian Thomas Jr.,WR,JAX,176.6,63.0
Carnell Tate,WR,TEN,176.1,63.0
Dalton Kincaid,TE,BUF,175.1,116.5
Quentin Johnston,WR,LAC,174.6,77.0
Rachaad White,RB,WAS,174.6,104.0
Kyle Pitts Sr.,TE,ATL,174.4,126.0
Deebo Samuel Sr.,WR,SF,173.0,171.0
Kyle Monangai,RB,CHI,172.6,98.0
Khalil Shakir,WR,BUF,172.5,123.5
Dallas Goedert,TE,PHI,172.1,130.5
Jason Myers,K,SEA,172.0,230.0
Romeo Doubs,WR,NE,171.3,119.0
Cam Little,K,JAX,171.0,180.0
Alec Pierce,WR,IND,171.0,82.0
Juwan Johnson,TE,NO,170.3,148.5
George Kittle,TE,SF,170.2,115.0
Jake Ferguson,TE,DAL,169.9,125.5
RJ Harvey,RB,DEN,169.5,83.5
Michael Wilson,WR,ARI,168.0,94.0
Tyjae Spears,RB,TEN,167.1,153.0
KC Concepcion,WR,CLE,167.1,126.0
T.J. Hockenson,TE,MIN,166.0,173.0
Cameron Dicker,K,LAC,165.0,138.0
Minnesota Vikings,DEF,MIN,164.0,191.0
Los Angeles Chargers,DEF,LAC,163.0,197.0
Matthew Golden,WR,GB,161.2,115.5
Blake Corum,RB,LAR,161.1,100.5
Jake Bates,K,DET,160.0,134.0
Wan'dale Robinson,WR,TEN,158.5,104.5
Evan McPherson,K,CIN,158.0,189.0
Pat Freiermuth,TE,PIT,157.4,203.5
Tyler Loop,K,BAL,155.0,216.0
Jalen McMillan,WR,TB,153.6,142.5
Baltimore Ravens,DEF,BAL,153.0,201.0
Rashid Shaheed,WR,SEA,152.9,136.5
Pittsburgh Steelers,DEF,PIT,152.0,190.0
Will Reichard,K,MIN,152.0,261.0
Blake Grupe,K,IND,152.0,0.0
Jacksonville Jaguars,DEF,JAX,152.0,188.0
Hunter Henry,TE,NE,152.0,158.0
Eddy Pineiro,K,SF,151.0,0.0
Chicago Bears,DEF,CHI,151.0,209.0
Chase McLaughlin,K,TB,150.0,159.0
Philadelphia Eagles,DEF,PHI,150.0,181.0
Harrison Mevis,K,LAR,150.0,0.0
Jonathon Brooks,RB,CAR,149.2,100.0
Harrison Butker,K,KC,149.0,187.0
New England Patriots,DEF,NE,149.0,178.0
Charlie Smyth,K,NO,149.0,0.0
Terrance Ferguson,TE,LAR,148.5,213.0
Green Bay Packers,DEF,GB,148.0,222.0
Kenyon Sadiq,TE,NYJ,146.6,163.5
Dalton Schultz,TE,HOU,146.1,174.5
Buffalo Bills,DEF,BUF,146.0,223.0
Andy Borregales,K,NE,146.0,0.0
Wil Lutz,K,DEN,146.0,172.0
Kayshon Boutte,WR,HOU,145.7,214.0
Tyler Bass,K,BUF,145.0,181.0
Greg Dulcich,TE,MIA,145.0,182.5
Denzel Boston,WR,CLE,144.1,157.0
Chris Boswell,K,PIT,144.0,130.0
Calvin Ridley,WR,TEN,143.6,199.0
Nick Folk,K,ATL,143.0,0.0
