player_name,position,team,projected_points,adp
Josh Allen,QB,BUF,361.5,21.0
Jahmyr Gibbs,RB,DET,331.4,1.9
Lamar Jackson,QB,BAL,326.0,32.8
Bijan Robinson,RB,ATL,324.9,2.6
Drake Maye,QB,NE,320.76,48.9
Puka Nacua,WR,LAR,312.5,4.8
Ja'Marr Chase,WR,CIN,311.1,3.6
Jalen Hurts,QB,PHI,310.54,60.3
Jayden Daniels,QB,WAS,308.72,64.0
Joe Burrow,QB,CIN,306.12,51.9
Dak Prescott,QB,DAL,303.88,78.9
Trevor Lawrence,QB,JAX,303.42,100.0
Brock Purdy,QB,SF,303.2,122.0
Caleb Williams,QB,CHI,299.34,71.5
Jaxson Dart,QB,NYG,296.54,90.1
Bo Nix,QB,DEN,295.72,120.0
Justin Herbert,QB,LAC,295.48,82.4
Christian McCaffrey,RB,SF,291.0,5.6
Patrick Mahomes,QB,KC,286.68,108.0
Jaxon Smith-Njigba,WR,SEA,284.6,6.9
Jared Goff,QB,DET,283.46,134.9
Kyler Murray,QB,MIN,283.06,159.3
Amon-Ra St. Brown,WR,DET,280.5,8.9
Matthew Stafford,QB,LAR,280.22,96.8
Jordan Love,QB,GB,278.52,149.3
Baker Mayfield,QB,TB,274.88,144.8
Jonathan Taylor,RB,IND,272.3,6.8
Tyler Shough,QB,NO,270.94,187.3
CeeDee Lamb,WR,DAL,270.5,9.1
Malik Willis,QB,MIA,270.12,196.0
Sam Darnold,QB,SEA,262.74,160.8
Nico Collins,WR,HOU,262.0,25.9
James Cook,RB,BUF,260.8,10.9
De'Von Achane,RB,MIA,257.4,12.4
Chase Brown,RB,CIN,255.2,16.1
Brock Bowers,TE,LV,253.5,23.4
Justin Jefferson,WR,MIN,250.4,11.9
Drake London,WR,ATL,250.2,17.8
C.J. Stroud,QB,HOU,247.82,205.0
A.J. Brown,WR,NE,247.2,18.5
Derrick Henry,RB,BAL,246.9,20.2
Saquon Barkley,RB,PHI,246.7,13.8
George Pickens,WR,DAL,245.7,24.7
Kenneth Walker,RB,KC,244.0,19.0
Omarion Hampton,RB,LAC,242.9,15.8
Malik Nabers,WR,NYG,236.7,27.6
Chris Olave,WR,NO,235.9,30.9
Bryce Young,QB,CAR,235.58,227.9
Trey McBride,TE,ARI,234.9,22.6
Ashton Jeanty,RB,LV,233.9,13.3
Rashee Rice,WR,KC,229.3,27.9
DeVonta Smith,WR,PHI,229.2,36.3
Zay Flowers,WR,BAL,228.2,41.3
Ladd McConkey,WR,LAC,228.2,38.1
Cam Ward,QB,TEN,227.84,229.0
Garrett Wilson,WR,NYJ,224.9,45.9
Tee Higgins,WR,CIN,224.4,34.5
Emeka Egbuka,WR,TB,224.0,39.3
Daniel Jones,QB,IND,223.54,202.8
Tetairoa McMillan,WR,CAR,223.0,37.1
Geno Smith,QB,NYJ,222.48,999.0
Mike Evans,WR,SF,222.2,61.9
Jaylen Waddle,WR,DEN,221.0,46.1
Colston Loveland,TE,CHI,215.4,40.2
Terry McLaurin,WR,WAS,213.8,55.5
Parker Washington,WR,JAX,212.4,76.1
Fernando Mendoza,QB,LV,212.16,181.4
Jeremiyah Love,RB,ARI,211.8,26.2
Breece Hall,RB,NYJ,211.0,33.7
Luther Burden,WR,CHI,209.0,52.4
D'Andre Swift,RB,CHI,208.0,54.2
Kyren Williams,RB,LAR,208.0,29.4
Rome Odunze,WR,CHI,207.9,65.2
Travis Etienne,RB,NO,207.7,44.6
Christian Watson,WR,GB,207.6,69.2
Javonte Williams,RB,DAL,207.3,34.3
Jameson Williams,WR,DET,206.2,58.5
David Montgomery,RB,HOU,206.1,49.0
Josh Jacobs,RB,GB,202.6,31.8
Cam Skattebo,RB,NYG,201.2,43.9
Tyler Warren,TE,IND,201.1,47.2
Jayden Reed,WR,GB,197.6,111.5
Bucky Irving,RB,TB,197.3,41.7
Sam LaPorta,TE,DET,196.5,59.4
Quinshon Judkins,RB,CLE,196.0,53.5
Brian Thomas,WR,JAX,195.4,73.5
Davante Adams,WR,LAR,192.5,50.2
Marvin Harrison,WR,ARI,186.2,75.3
DK Metcalf,WR,PIT,183.3,74.5
Harold Fannin,TE,CLE,180.4,68.5
DJ Moore,WR,BUF,179.0,57.1
Alec Pierce,WR,IND,177.9,101.3
Carnell Tate,WR,TEN,177.3,66.5
Aaron Rodgers,QB,PIT,177.0,228.8
Bhayshul Tuten,RB,JAX,174.8,62.0
Tucker Kraft,TE,GB,174.4,62.3
Courtland Sutton,WR,DEN,174.3,80.6
Chris Godwin,WR,TB,173.6,95.5
Josh Downs,WR,IND,172.3,109.2
Jordan Addison,WR,MIN,171.7,104.6
Kyle Pitts,TE,ATL,171.6,69.6
Travis Kelce,TE,KC,171.4,92.0
TreVeyon Henderson,RB,NE,171.0,55.7
Michael Pittman,WR,PIT,170.9,102.6
Khalil Shakir,WR,BUF,170.7,143.1
Wan'Dale Robinson,WR,TEN,170.7,116.8
Jaylen Warren,RB,PIT,170.6,72.0
Matthew Golden,WR,GB,170.1,127.3
Jadarian Price,RB,SEA,170.0,67.4
George Kittle,TE,SF,169.3,89.5
Jakobi Meyers,WR,JAX,169.3,117.8
Rhamondre Stevenson,RB,NE,169.0,81.7
Makai Lemon,WR,PHI,168.5,87.4
Michael Wilson,WR,ARI,166.0,83.4
Jalen Coker,WR,CAR,165.9,146.0
Quentin Johnston,WR,LAC,163.9,113.0
Dalton Kincaid,TE,BUF,163.6,86.9
Mark Andrews,TE,BAL,162.5,128.6
Xavier Worthy,WR,KC,161.5,141.8
Romeo Doubs,WR,NE,161.2,132.1
Rico Dowdle,RB,PIT,161.1,85.0
Brenton Strange,TE,JAX,161.0,152.4
J.K. Dobbins,RB,DEN,160.2,94.2
Tony Pollard,RB,TEN,160.1,83.8
Jacoby Brissett,QB,ARI,160.0,243.0
Jake Ferguson,TE,DAL,159.8,97.9
Stefon Diggs,WR,WAS,157.3,110.4
Isaiah Likely,TE,NYG,157.3,107.5
KC Concepcion,WR,CLE,156.4,121.0
Deebo Samuel,WR,SF,155.7,130.8
T.J. Hockenson,TE,MIN,155.0,164.5
Jonathon Brooks,RB,CAR,154.9,106.2
Kyle Monangai,RB,CHI,154.6,99.6
Jordan Mason,RB,MIN,153.7,115.1
Hunter Henry,TE,NE,153.5,142.1
Kenny Gainwell,RB,TB,152.3,111.8
Dalton Schultz,TE,HOU,150.9,192.8
Chuba Hubbard,RB,CAR,147.9,76.6
RJ Harvey,RB,DEN,144.1,79.6
Chig Okonkwo,TE,WAS,144.1,188.8
Michael Penix,QB,ATL,143.16,227.9
AJ Barner,TE,SEA,142.4,183.9
Oronde Gadsden,TE,LAC,141.8,129.7
Juwan Johnson,TE,NO,140.9,188.5
Rashid Shaheed,WR,SEA,138.1,146.9
Aaron Jones,RB,MIN,137.1,124.4
Dallas Goedert,TE,PHI,136.0,123.8
Blake Corum,RB,LAR,135.3,103.8
Denzel Boston,WR,CLE,134.7,167.3
Chris Rodriguez,RB,JAX,132.5,139.5
Malik Washington,WR,MIA,131.3,174.6
Jalen Nailor,WR,LV,130.6,185.6
Gunnar Helm,TE,TEN,130.3,233.1
De'Zhaun Stribling,WR,SF,128.4,138.6
Pat Freiermuth,TE,PIT,128.4,239.9
Rachaad White,RB,WAS,128.1,132.1
Jacory Croskey-Merritt,RB,WAS,127.9,114.1
Jalen McMillan,WR,TB,127.4,209.4
Omar Cooper,WR,NYJ,127.1,193.7
Tre Tucker,WR,LV,125.9,202.3
Kayshon Boutte,WR,HOU,125.2,223.7
Darren Waller,TE,CAR,122.6,999.0
Cade Otton,TE,TB,122.3,234.1
Ryan Flournoy,WR,DAL,121.2,230.7
Jerry Jeudy,WR,CLE,119.6,191.4
Brandon Aubrey,K,DAL,116.0,93.1
Tyjae Spears,RB,TEN,114.6,165.2
Ka'imi Fairbairn,K,HOU,113.0,131.2
Tre' Harris,WR,LAC,112.9,230.0
Cam Little,K,JAX,112.0,135.6
Tyrone Tracy,RB,NYG,111.3,166.8
Jordyn Tyson,WR,NO,111.0,90.7
Jason Myers,K,SEA,111.0,125.1
Greg Dulcich,TE,MIA,110.9,229.7
Devaughn Vele,WR,NO,110.6,239.8
Will Reichard,K,MIN,109.0,171.1
