player_name,risk_tier
Travis Etienne Jr.,committee
Alvin Kamara,committee
Jaylen Warren,committee
Rico Dowdle,committee
Rachaad White,committee
Jacory Croskey-Merritt,committee
RJ Harvey,committee
Jonah Coleman,committee_rookie
J.K. Dobbins,committee_injury_recovery
Bhayshul Tuten,committee
TreVeyon Henderson,committee
Rhamondre Stevenson,committee
Zach Charbonnet,committee_injury_recovery
Jadarian Price,committee_rookie
Jonathon Brooks,injury_recovery
Dylan Sampson,backup_committee
Jordan James,handcuff_battle
DJ Giddens,handcuff_battle
Ollie Gordon II,backup_committee
Trevor Etienne,backup_committee
