RK,Player,Pos,Team,BYE,PTS,SoS Rank,ADP (Average),P-RK,YPC,Rush,RUSH YDS,RUSH TD,REC,REC YDS,REC TD,YPR,Rec/Tar Game,PASS YDS,PASS TD,INT,CMP%,ATT/ GM,QB YPC,PTS (Stats),YPC (Stats),Rush (Stats),RUSH YDS (Stats),RUSH TD (Stats),REC (Stats),REC YDS (Stats),REC TD (Stats),YPR (Stats),Rec/Tar Game (Stats),PASS YDS (Stats),PASS TD (Stats),INT (Stats),CMP% (Stats),ATT/ GM (Stats),QB YPC (Stats),Auction $,Target Round
1,Jahmyr Gibbs,RB,DET,6,373,1,1,RB1,4.9,264,1306,15,71,577,4,8.1,4.2/5.4,,,,,,,367,5.0,243,1223,13,77,616,5,8.0,4.5/5.5,,,,,,,67,1.10
2,Bijan Robinson,RB,ATL,11,369,12,2,RB2,4.8,291,1386,9,79,735,4,9.3,4.6/5.9,,,,,,,371,5.1,287,1478,7,79,820,4,10.4,4.6/6.1,,,,,,,65,1.20
3,Puka Nacua,WR,LAR,11,349,25,3.9,WR1,6.9,14,94,1,119,1551,10,13.0,7.0/9.8,,,,,,,375,10.5,10,105,1,129,1715,10,13.3,8.1/10.4,,,,,,,64,1.30
4,Ja'Marr Chase,WR,CIN,6,317,8,3.1,WR2,5.1,3,17,,114,1409,10,12.4,6.7/9.9,,,,,,,314,4.7,3,14,,125,1412,8,11.3,7.8/11.6,,,,,,,62,1.40
5,Christian McCaffrey,RB,SF,8,370,15,5.8,RB3,4.0,285,1151,11,80,726,6,9.1,4.7/6.2,,,,,,,417,3.9,311,1202,10,102,924,7,9.1,6.0/7.6,,,,,0.1,,62,1.50
6,Jaxon Smith-Njigba,WR,SEA,11,334,13,5.6,WR3,5.2,5,27,,114,1626,9,14.2,6.7/9.6,,,,,,,360,5.1,7,36,,119,1793,10,15.1,7.0/9.6,,,,,,,59,1.60
7,CeeDee Lamb,WR,DAL,14,296,10,11,WR4,6.0,3,20,,105,1406,8,13.4,6.2/9.4,,,,,,,201,2.0,1,2,,75,1077,3,14.4,5.4/8.4,,,,,,,59,1.70
8,Amon-Ra St. Brown,WR,DET,6,314,14,7.3,WR5,5.7,2,10,,116,1373,10,11.8,6.8/9.9,,,,,,,324,3.0,3,9,,117,1401,11,12.0,6.9/10.1,,,,,,,55,1.80
9,Jonathan Taylor,RB,IND,13,333,13,7.6,RB4,4.7,329,1539,14,47,359,2,7.6,2.8/3.5,,,,,,,362,4.9,323,1585,18,46,378,2,8.2,2.7/3.2,,,,,,,55,1.90
10,Justin Jefferson,WR,MIN,6,303,2,11.6,WR6,4.2,2,7,,111,1430,8,12.9,6.5/9.9,,,,,,,202,3.5,2,7,,84,1048,2,12.5,4.9/8.3,,,,,,,53,2.00
